group,name,oi,oi_chg,nc_l,nc_s,nc_sp,nc_net,nc_net_chg,nc_l_chg,nc_s_chg,nc_l_pct,nc_s_pct,nc_net_pct,nc_ls,c_l,c_s,c_net,c_net_chg,nr_l,nr_s,nr_net,nr_net_chg,pct_3y,pct_5y,hist_min,hist_max,mm_net,mm_net_chg,pm_net,pm_net_chg
谷物,小麦 SRW (CBOT),596572,67433,139357,118272,247090,21085,32825,23136,-9689,23.4,19.8,3.5,1.18,171626,191839,-20213,-31838,38499,39371,-872,-988,100.0,94.6,-143292,63219,14904,28501,-102406,-28958
谷物,小麦 HRW (CBOT),344551,23066,90593,59148,114814,31445,9902,8829,-1073,26.3,17.2,9.1,1.53,117153,148368,-31215,-9681,21991,22222,-231,-222,100.0,85.4,-67058,92510,48826,6312,-112257,-10564
谷物,小麦 HRS (MIAX),78853,3506,25919,4161,3446,21758,7398,4817,-2581,32.9,5.3,27.6,6.23,39130,63883,-24753,-9103,10358,7363,2995,1706,93.6,90.0,-33984,33464,20873,7188,-30651,-8819
谷物,小麦 三合约合计,1019976,94005,255869,181581,365350,74288,50125,36782,-13343,25.1,17.8,7.3,1.41,327909,404090,-76181,-50622,70848,68956,1892,496,100.0,,-222434,135776,,,,
谷物,玉米 (CBOT),2594329,183678,609313,128581,895659,480732,74571,40518,-34053,23.5,5.0,18.5,4.74,892377,1321006,-428629,-81690,196980,249084,-52104,7118,100.0,99.6,-277559,557581,401003,83555,-800143,-79289
谷物,燕麦 (CBOT),3163,,737,642,191,95,,,,23.3,20.3,3.0,1.15,389,1543,-1154,,1846,787,1059,,60.0,59.6,-3222,5038,118,,-1154,
谷物,糙米 (CBOT),13539,-1005,4708,3030,1104,1678,743,306,-437,34.8,22.4,12.4,1.55,4633,8385,-3752,-847,3095,1020,2075,105,78.3,80.1,-6483,7402,1320,351,-4081,-706
油籽,大豆 (CBOT),1325813,133075,328636,79505,408355,249131,42909,38739,-4170,24.8,6.0,18.8,4.13,529409,756894,-227485,-45615,59413,81059,-21646,2706,98.7,99.2,-194765,270935,234920,34241,-337308,-32912
油籽,豆油 (CBOT),723386,35166,166704,41178,197455,125526,21855,16282,-5573,23.0,5.7,17.4,4.05,321868,461051,-139183,-26357,37359,23701,13658,4503,92.4,95.4,-86150,175062,99823,14707,-224427,-25035
油籽,豆粕 (CBOT),730588,64169,212642,38750,195752,173892,61783,51361,-10422,29.1,5.3,23.8,5.49,266986,469227,-202241,-63831,55208,26859,28349,2048,100.0,99.6,-118425,174900,157179,61226,-317977,-55888
油籽,油菜籽 (ICE),387679,15037,138522,53803,63300,84719,13263,5979,-7284,35.7,13.9,21.9,2.57,182808,266931,-84123,-13995,3049,3646,-597,730,91.7,95.0,-160627,144907,104309,10462,-75302,-9962
软商品,棉花 2号 (ICE),543101,28818,164511,31364,172368,133147,5964,5182,-782,30.3,5.8,24.5,5.25,184163,329160,-144997,-6243,22059,10209,11850,279,100.0,100.0,-66025,133147,100963,12670,-178611,-8451
软商品,可可 (ICE),253495,25429,26645,37918,96511,-11273,7113,4530,-2583,10.5,15.0,-4.4,0.7,118275,111614,6661,-7403,12065,7452,4613,292,21.0,19.5,-43846,86982,-4750,5708,-30625,-7187
软商品,糖 11号 (ICE),1673040,81518,425643,214448,528523,211195,30252,34389,4137,25.4,12.8,12.6,1.98,603717,874967,-271250,-41846,115157,55101,60056,11595,97.5,85.4,-237843,351383,233771,35754,-302362,-23237
软商品,咖啡 C (ICE),200891,-2940,45624,21801,73077,23823,-6923,-2881,4042,22.7,10.9,11.9,2.09,74060,100129,-26069,7802,8130,5883,2247,-879,18.5,25.3,-106651,76932,26729,-4459,-28761,6668
软商品,冷冻浓缩橙汁 (ICE),11206,779,4568,4596,1232,-28,-321,162,483,40.8,41.0,-0.2,0.99,3050,3369,-319,380,2355,2009,346,-59,9.6,8.8,-9416,22745,-1485,-178,-1646,217
畜牧,活牛 (CME),447131,6400,90390,48475,169638,41915,-11870,-2505,9365,20.2,10.8,9.4,1.86,156697,184632,-27935,12072,30406,44387,-13981,-203,4.5,5.0,-11972,183134,48851,-10878,-88111,6221
畜牧,育肥牛 (CME),105017,-17035,18248,19992,49351,-1744,3008,-520,-3528,17.4,19.0,-1.7,0.91,24575,20572,4003,-2424,12843,15102,-2259,-583,17.8,27.2,-11366,37373,8436,-450,-2207,-866
畜牧,瘦肉猪 (CME),397563,4253,74815,109936,161238,-35121,5337,3042,-2295,18.8,27.7,-8.8,0.68,138168,104168,34000,-4475,23342,22222,1120,-863,1.3,0.8,-40458,166410,-34691,1407,-9595,-587
乳品,三级牛奶 (CME),71130,5344,11408,19691,17130,-8283,-1388,463,1851,16.0,27.7,-11.6,0.58,38545,25557,12988,2314,4047,8753,-4706,-927,19.7,12.3,-13696,23470,-5013,92,4689,1382
乳品,黄油 (CME),34499,3453,129,5632,7277,-5503,-1614,-16,1598,0.4,16.3,-16.0,0.02,25988,21159,4829,1660,1104,431,673,-48,0.6,4.2,-5949,970,-540,-54,1701,1028
乳品,奶酪 (CME),44994,1634,612,12718,5143,-12106,-464,135,599,1.4,28.3,-26.9,0.05,38069,26356,11713,608,1170,776,394,-143,1.9,1.1,-27244,238,-2657,-227,1774,307
乳品,乳清粉 (CME),4855,185,0,1817,353,-1817,-83,0,83,0.0,37.4,-37.4,0.0,3914,2240,1674,97,588,446,142,-14,15.6,13.5,-6557,-60,,,,
乳品,脱脂奶粉 (CME),24707,2960,368,4454,6999,-4086,-922,40,962,1.5,18.0,-16.5,0.08,16237,12866,3371,950,1103,388,715,-28,5.1,4.6,-5063,1593,-771,-45,3667,897
