market,date,oi,nc_l,nc_s,nc_sp,c_l,c_s,nr_l,nr_s,nc_net,c_net,nc_l_chg,nc_s_chg,c_l_chg,c_s_chg
小麦 SRW (CBOT),1995-03-21,363561,54943,55019,63253,123874,101648,121491,143641,-76,22226,,,,
小麦 SRW (CBOT),1995-03-28,361656,47893,46706,70415,126006,108325,117342,136210,1187,17681,-7050,-8312,2132,6677
小麦 SRW (CBOT),1995-04-04,360415,46582,46043,69984,122301,101462,121548,142926,539,20839,-1311,-664,-3705,-6863
小麦 SRW (CBOT),1995-04-11,409731,84720,31200,80843,105358,137224,138811,160465,53520,-31866,38138,-14843,-16944,35761
小麦 SRW (CBOT),1995-04-18,409314,96213,31348,75478,105022,146614,132600,155873,64865,-41592,11493,148,-336,9391
小麦 SRW (CBOT),1995-04-25,380710,86582,20379,67495,97209,136009,129425,156827,66203,-38800,-9632,-10969,-7813,-10605
小麦 SRW (CBOT),1995-05-02,414167,123871,19264,75207,81745,159626,133345,160070,104607,-77881,37290,-1115,-15464,23617
小麦 SRW (CBOT),1995-05-09,436520,128401,18528,78904,95146,178703,134068,160384,109873,-83557,4530,-736,13402,19077
小麦 SRW (CBOT),1995-05-16,469269,146095,16879,72218,107129,218950,143827,161222,129216,-111821,17694,-1650,11982,40247
小麦 SRW (CBOT),1995-05-23,517054,156670,16975,87621,117250,241658,155512,170800,139695,-124408,10575,96,10122,22708
小麦 SRW (CBOT),1995-05-30,556711,164427,16761,108548,124417,261491,159319,169911,147666,-137074,7757,-213,7167,19833
小麦 SRW (CBOT),1995-06-06,594608,165884,16730,125287,139996,267586,163441,185005,149154,-127590,1457,-31,15580,6095
小麦 SRW (CBOT),1995-06-13,601419,146686,16848,127180,155801,259712,171752,197678,129838,-103911,-19198,118,15804,-7874
小麦 SRW (CBOT),1995-06-20,667692,145962,18719,151133,191322,287075,179275,210765,127243,-95753,-724,1870,35521,27363
小麦 SRW (CBOT),1995-06-27,629785,158674,13555,121641,168431,300646,181038,193944,145119,-132215,12712,-5164,-22891,13570
小麦 SRW (CBOT),1995-07-03,636830,145676,15466,117623,175022,315898,198509,187843,130210,-140876,-12999,1911,6591,15253
小麦 SRW (CBOT),1995-07-11,664019,155325,17518,126285,178185,333211,204224,187005,137807,-155026,9649,2052,3163,17312
小麦 SRW (CBOT),1995-07-18,703116,151719,15354,135496,198488,358129,217413,194138,136365,-159641,-3605,-2164,20302,24918
小麦 SRW (CBOT),1995-07-25,738199,155783,19204,143142,196750,365387,242525,210465,136579,-168637,4063,3851,-1738,7258
小麦 SRW (CBOT),1995-08-01,744616,164320,19994,145310,191328,372315,243657,206997,144326,-180987,8538,790,-5421,6927
小麦 SRW (CBOT),1995-08-08,674368,120310,15836,137946,204346,319395,211765,201191,104474,-115049,-44010,-4159,13018,-52919
小麦 SRW (CBOT),1995-08-15,650677,102332,21497,132562,208014,306741,207769,189878,80835,-98727,-17978,5661,3668,-12655
小麦 SRW (CBOT),1995-08-22,601549,103772,19047,104019,191064,290002,202694,188480,84725,-98938,1440,-2449,-16951,-16739
小麦 SRW (CBOT),1995-08-29,597098,109842,21045,107009,185066,277829,195181,191216,88797,-92763,6070,1998,-5998,-12173
小麦 SRW (CBOT),1995-09-05,597631,112104,19445,112194,172792,272024,200542,193969,92659,-99232,2262,-1600,-12274,-5805
小麦 SRW (CBOT),1995-09-12,658777,135442,24057,123449,177724,302416,222162,208855,111385,-124692,23339,4613,4932,30392
小麦 SRW (CBOT),1995-09-19,690312,135251,23256,133628,196971,329081,224463,204348,111995,-132110,-192,-801,19247,26665
小麦 SRW (CBOT),1995-09-26,694654,125458,26343,129003,205154,340725,235040,198584,99115,-135571,-9793,3087,8182,11644
小麦 SRW (CBOT),1995-10-03,700104,125735,26401,138906,215146,352290,220316,182506,99334,-137144,277,58,9992,11566
小麦 SRW (CBOT),1995-10-10,684495,109340,24591,137131,217710,347886,220314,174887,84749,-130176,-16396,-1810,2564,-4405
小麦 SRW (CBOT),1995-10-17,735370,120254,25015,151821,214956,357512,248340,201022,95239,-142556,10914,424,-2755,9627
小麦 SRW (CBOT),1995-10-24,749309,136343,27860,157341,189598,348358,266027,215750,108483,-158760,16089,2844,-25358,-9154
小麦 SRW (CBOT),1995-10-31,755903,135598,26464,159471,196216,352962,264618,217006,109134,-156746,-745,-1396,6618,4604
小麦 SRW (CBOT),1995-11-07,717695,111393,23611,153138,205691,327755,247474,213192,87782,-122064,-24206,-2853,9475,-25208
小麦 SRW (CBOT),1995-11-14,695408,98917,20021,133618,235604,326305,227270,215464,78896,-90701,-12476,-3590,29913,-1449
小麦 SRW (CBOT),1995-11-21,596149,87013,19387,63002,246372,303908,199762,209852,67626,-57536,-11903,-633,10769,-22397
小麦 SRW (CBOT),1995-11-28,587974,102627,20425,63560,221092,295622,200696,208367,82202,-74530,15614,1038,-25281,-8287
小麦 SRW (CBOT),1995-12-05,600769,103757,23968,68339,211637,293095,217036,215367,79789,-81458,1130,3543,-9454,-2527
小麦 SRW (CBOT),1995-12-12,627008,120135,33257,79224,179346,301248,248302,213279,86878,-121902,16378,9289,-32291,8153
小麦 SRW (CBOT),1995-12-19,652012,121169,38841,97612,177148,313591,256083,201969,82328,-136443,1034,5583,-2199,12343
小麦 SRW (CBOT),1995-12-26,629735,107926,33036,93198,178514,301842,250097,201659,74890,-123328,-13242,-5804,1366,-11749
小麦 SRW (CBOT),1996-01-02,666970,128548,39893,106232,170236,318329,261955,202517,88655,-148093,20621,6857,-8278,16487
小麦 SRW (CBOT),1996-01-09,645987,95271,37079,103319,201163,293474,246233,212115,58192,-92311,-33276,-2813,30927,-24855
小麦 SRW (CBOT),1996-01-16,676989,86036,69270,102299,255038,276192,233616,229228,16766,-21154,-9235,32191,53875,-17281
小麦 SRW (CBOT),1996-01-23,674035,79375,59111,109564,248362,270869,236734,234492,20264,-22507,-6660,-10159,-6676,-5324
小麦 SRW (CBOT),1996-01-30,701995,136329,31015,135221,184985,305402,245459,230356,105314,-120417,56953,-28095,-63377,34533
小麦 SRW (CBOT),1996-02-06,714485,145444,34228,149705,151534,302359,267802,228193,111216,-150825,9115,3213,-33451,-3044
