group,name,start,n,oi,nc_l,nc_l_chg,nc_s,nc_s_chg,c_l,c_l_chg,c_s,c_s_chg,nc_net,nc_net_chg,nc_short,nc_l_pct,nc_s_pct,hist_max_net,hist_max_net_date,hist_min_net,hist_min_net_date
谷物,小麦 SRW (CBOT),1995-03-21,1642,596572,139357,23136,118272,-9690,171626,-1631,191839,30206,21085,21085,-21085,23.4,19.8,149154,1995-06-06,-143292,2017-04-25
谷物,小麦 HRW (KCBT→CBOT),1995-03-21,1642,344551,90593,8829,59148,-1073,117153,7671,148368,17352,31445,31445,-31445,26.3,17.2,92510,2017-07-11,-67058,2025-05-13
谷物,小麦 HRS (MGE→MIAX),1995-03-21,1642,78853,25919,4817,4161,-2581,39130,-343,63883,8760,21758,21758,-21758,32.9,5.3,33464,2026-05-05,-33984,2025-05-20
谷物,玉米 (CBOT),1995-03-21,1642,2594329,609313,40519,128581,-34053,892377,28543,1321006,110233,480732,480732,-480732,23.5,5.0,557581,2021-01-12,-277559,2024-07-09
谷物,燕麦 (CBOT),1995-03-21,1505,3163,737,-460,642,352,389,-1047,1543,-1575,95,95,-95,23.3,20.3,19877,1995-05-16,-4665,1996-12-31
谷物,糙米 (CBOT),1995-03-21,1641,13539,4708,306,3030,-437,4633,-1283,8385,-435,1678,1678,-1678,34.8,22.4,8138,2007-12-04,-6483,2025-12-16
油籽,大豆 (CBOT),1995-03-21,1642,1325813,328636,38739,79505,-4170,529409,4980,756894,50595,249131,249131,-249131,24.8,6.0,270935,2020-10-06,-194765,2024-03-05
油籽,豆油 (CBOT),1995-03-21,1642,723386,166704,16281,41178,-5573,321868,-2514,461051,23843,125526,125526,-125526,23.0,5.7,175062,2026-05-05,-86150,2025-12-23
油籽,豆粕 (CBOT),1995-03-21,1642,730588,212642,51361,38750,-10422,266986,-13356,469227,50475,173892,173892,-173892,29.1,5.3,174900,2023-03-07,-118425,2025-07-01
油籽,油菜籽 (ICE),2018-08-07,422,387679,138522,5979,53803,-7285,182808,4688,266931,18682,84719,84719,-84719,35.7,13.9,144907,2025-06-24,-160627,2024-03-05
软商品,棉花 2号 (ICE),1995-03-21,1640,543101,164511,5182,31364,-782,184163,6984,329160,13227,133147,133147,-133147,30.3,5.8,133147,2026-09-01,-66025,2025-10-14
软商品,可可 (ICE),1995-03-21,1637,253495,26645,4530,37918,-2582,118275,364,111614,7768,-11273,-11273,11273,10.5,15.0,86982,2014-02-04,-43846,2017-07-18
软商品,糖 11号 (ICE),1995-03-21,1637,1673040,425643,34389,214448,4137,603717,11425,874967,53272,211195,211195,-211195,25.4,12.8,351383,2016-09-27,-237843,2026-02-17
软商品,咖啡 C (ICE),1995-03-21,1637,200891,45624,-2881,21801,4042,74060,3429,100129,-4373,23823,23823,-23823,22.7,10.9,76932,2024-04-16,-106651,2018-09-18
软商品,冻橙汁 (ICE),1995-03-21,1640,11206,4568,162,4596,483,3050,130,3369,-250,-28,-28,28,40.8,41.0,22745,2011-08-02,-9416,2019-02-12
畜牧,活牛 (CME),1995-03-21,1642,447131,90390,-2505,48475,9365,156697,7830,184632,-4242,41915,41915,-41915,20.2,10.8,183134,2019-04-23,-15270,1998-02-10
畜牧,育肥牛 (CME),1995-03-21,1642,105017,18248,-520,19992,-3528,24575,-2549,20572,-125,-1744,-1744,1744,17.4,19.0,37373,2025-07-22,-11366,2022-10-11
畜牧,瘦肉猪 (CME),1996-04-02,1583,397563,74815,3042,109936,-2295,138168,-7357,104168,-2883,-35121,-35121,35121,18.8,27.7,166410,2025-09-30,-40458,2026-08-25
乳品,三级牛奶 (CME),1997-10-14,1507,71130,11408,464,19691,1850,38545,3996,25557,1683,-8283,-8283,8283,16.0,27.7,23470,2014-12-23,-13696,2024-01-02
乳品,黄油 (CME),2006-05-02,895,34499,129,-16,5632,1597,25988,2718,21159,1057,-5503,-5503,5503,0.4,16.3,970,2020-06-09,-5949,2022-03-01
乳品,奶酪 (CME),2012-01-17,764,44994,612,135,12718,599,38069,1289,26356,681,-12106,-12106,12106,1.4,28.3,238,2024-07-09,-27244,2015-01-27
乳品,乳清粉 (CME),2012-02-14,272,4855,0,0,1817,83,3914,175,2240,78,-1817,-1817,1817,0.0,37.4,-60,2019-11-19,-6557,2015-01-20
乳品,脱脂奶粉 (CME),2013-11-19,668,24707,368,40,4454,963,16237,1794,12866,844,-4086,-4086,4086,1.5,18.0,1593,2020-05-26,-5063,2026-06-16
谷物,小麦 三合约合计,1995-03-21,1642,1019976,255869,36782,181581,-13344,327909,5697,404090,56318,74288,50125,-74288,25.1,17.8,188129,1995-06-27,-222434,2025-05-13
