family,rank_type,rank,date,chg,level_after,prev_level,net_after
SRW 软红冬 (CBOT),多头增仓,1,1996-01-30,56953,136329,79375,105314
SRW 软红冬 (CBOT),多头增仓,2,1995-04-11,38138,84720,46582,53520
SRW 软红冬 (CBOT),多头增仓,3,1995-05-02,37290,123871,86582,104607
SRW 软红冬 (CBOT),多头增仓,4,1997-09-02,29706,97616,67910,46426
SRW 软红冬 (CBOT),多头增仓,5,1997-03-18,26712,94740,68028,29612
SRW 软红冬 (CBOT),多头增仓,6,1996-03-26,24720,100734,76014,69499
SRW 软红冬 (CBOT),多头增仓,7,1995-09-12,23339,135442,112104,111385
SRW 软红冬 (CBOT),多头增仓,8,2026-09-01,23136,139357,116221,21085
SRW 软红冬 (CBOT),多头增仓,9,2004-03-23,22021,53639,31619,40023
SRW 软红冬 (CBOT),多头增仓,10,1996-01-02,20621,128548,107926,88655
SRW 软红冬 (CBOT),多头增仓,11,2010-12-07,20256,97286,77030,8674
SRW 软红冬 (CBOT),多头增仓,12,2018-07-31,19930,149386,129456,51639
SRW 软红冬 (CBOT),多头增仓,13,2006-05-16,19781,98609,78828,34640
SRW 软红冬 (CBOT),多头增仓,14,1996-04-02,19410,120144,100734,89653
SRW 软红冬 (CBOT),多头增仓,15,2015-06-30,19183,118504,99321,8223
SRW 软红冬 (CBOT),多头增仓,16,2020-09-01,19159,133924,114765,47050
SRW 软红冬 (CBOT),多头增仓,17,1997-04-15,18744,122413,103669,93020
SRW 软红冬 (CBOT),多头增仓,18,2020-03-31,17887,104003,86115,44211
SRW 软红冬 (CBOT),多头增仓,19,1995-05-16,17694,146095,128401,129216
SRW 软红冬 (CBOT),多头增仓,20,2006-10-03,16868,79890,63022,22744
SRW 软红冬 (CBOT),空头砍仓,1,1998-01-06,-98366,26607,124973,-15655
SRW 软红冬 (CBOT),空头砍仓,2,2012-05-22,-57137,101894,159032,4127
SRW 软红冬 (CBOT),空头砍仓,3,2018-01-30,-42220,216763,258983,-65114
SRW 软红冬 (CBOT),空头砍仓,4,2023-12-12,-38959,148286,187245,-46836
SRW 软红冬 (CBOT),空头砍仓,5,2017-05-02,-37948,234331,272280,-104219
SRW 软红冬 (CBOT),空头砍仓,6,2017-06-20,-37423,170130,207553,-24385
SRW 软红冬 (CBOT),空头砍仓,7,2015-06-30,-36405,110281,146686,8223
SRW 软红冬 (CBOT),空头砍仓,8,2019-05-21,-34447,143286,177734,-21613
SRW 软红冬 (CBOT),空头砍仓,9,2018-02-13,-34233,175913,210147,-29318
SRW 软红冬 (CBOT),空头砍仓,10,2013-10-01,-33971,124191,158162,-5863
