onset,peak_ym,peak,season_MY,sur_w,sur_exCN,sur_exCNIN,pre6_run_up,T6,T12,T24,T12_exc
1951-06,1951-10,1.03,1950/51,,,,,,,,
1953-04,1953-10,0.78,1952/53,,,,,,,,
1957-04,1958-01,1.69,1956/57,,,,,,,,
1963-07,1963-11,1.19,1962/63,56.4,55.0,49.1,-3.1,3.1,0.0,-1.6,-4.1
1965-06,1965-11,1.82,1964/65,60.8,57.8,52.4,1.6,-1.6,-1.6,6.2,-9.3
1968-10,1969-01,0.98,1968/69,44.2,39.3,35.5,-7.3,0.0,3.1,12.0,-6.5
1972-06,1972-11,1.84,1971/72,39.8,35.6,30.3,1.2,13.2,62.7,52.6,1.3
1976-09,1976-12,0.84,1976/77,38.0,30.9,27.6,22.1,-1.6,-32.3,-14.0,-34.0
1977-10,1977-11,0.84,1977/78,42.6,38.0,33.6,-27.9,14.5,20.5,22.7,9.2
1982-05,1983-01,2.14,1981/82,42.0,38.5,33.5,-4.3,-8.1,12.9,10.2,3.6
1986-09,1987-09,1.49,1986/87,45.2,30.7,26.7,-33.8,25.6,39.7,11.7,21.0
1991-06,1992-01,1.54,1990/91,32.6,25.0,21.6,-1.6,-26.1,-16.6,-29.2,-18.0
1994-10,1994-12,0.97,1994/95,38.9,25.1,20.0,-10.8,39.2,14.2,-1.8,12.6
1997-05,1997-12,2.37,1996/97,52.6,28.0,22.3,3.5,-8.2,-15.8,-32.2,3.3
2002-07,2002-11,1.19,2001/02,59.5,38.4,32.7,0.0,16.8,19.9,8.8,15.2
2004-08,2004-12,0.71,2004/05,54.1,36.8,28.7,-25.7,0.0,-2.4,4.7,-11.7
2006-09,2006-11,0.88,2006/07,48.4,31.5,25.5,3.9,0.0,18.8,8.4,-0.7
2009-07,2009-12,1.5,2008/09,53.4,33.9,25.1,6.1,21.5,33.7,57.4,22.4
2014-10,2015-12,2.59,2014/15,92.1,32.8,23.4,-25.0,7.7,2.6,15.5,22.7
2018-09,2018-12,1.05,2018/19,59.4,31.2,24.0,2.4,0.5,-15.9,-14.6,-13.3
2019-10,2019-12,0.75,2019/20,79.3,47.7,32.7,-20.1,-12.9,3.6,52.5,-8.8
2023-06,2023-12,1.99,2022/23,67.2,37.5,27.9,-7.0,-1.0,-13.6,-16.4,-16.4
