onset,peak_ym,peak,len,onset_month,peak_month,ramp_jan_jul,T3_abs,T3_exc,T6_abs,T6_exc,T12_abs,T12_exc,T24_abs,T24_exc,A_pre6_to_peak6,peak_px
1951-06,1951-10,1.03,8,6,10,1.37,,,,,,,,,,
1953-04,1953-10,0.78,9,4,10,0.38,,,,,,,,,,
1957-04,1958-01,1.69,14,4,1,1.23,,,,,,,,,,
1963-07,1963-11,1.19,8,7,11,1.09,0.0,-4.1,3.1,-1.0,0.0,-4.1,-1.6,-6.2,0.0,0.64
1965-06,1965-11,1.82,10,6,11,1.61,-1.6,-3.6,-1.6,-7.9,-1.6,-9.3,6.2,4.7,-3.1748698314580297,0.62
1968-10,1969-01,0.98,8,10,1,1.06,0.0,-3.0,0.0,-5.9,3.1,-6.5,12.0,1.8,-15.180601286800407,0.63
1972-06,1972-11,1.84,10,6,11,1.57,0.0,-3.6,13.2,-9.0,62.7,1.3,52.6,-22.3,30.22808718729335,0.81
1976-09,1976-12,0.84,6,9,12,1.72,-9.3,-19.7,-1.6,-24.9,-32.3,-34.0,-14.0,-30.5,4.4451762570833795,1.84
1977-10,1977-11,0.84,5,10,11,-0.32,8.2,4.1,14.5,6.4,20.5,9.2,22.7,-5.5,-14.799681425288004,1.41
1982-05,1983-01,2.14,14,5,1,0.83,-4.3,-0.6,-8.1,-5.1,12.9,3.6,10.2,-6.5,16.705408466316623,1.58
1986-09,1987-09,1.49,17,9,9,0.64,24.9,23.9,25.6,20.3,39.7,21.0,11.7,-22.2,23.867449334508635,1.84
1991-06,1992-01,1.54,13,6,1,0.42,-12.5,-13.1,-26.1,-26.5,-16.6,-18.0,-29.2,-32.2,-25.05425255023243,1.31
1994-10,1994-12,0.97,5,10,12,0.23,26.6,23.9,39.2,38.5,14.2,12.6,-1.8,2.8,7.796154146971171,1.92
1997-05,1997-12,2.37,12,5,12,1.89,-1.1,4.5,-8.2,2.2,-15.8,3.3,-32.2,-2.4,-10.008345855698252,1.64
2002-07,2002-11,1.19,8,7,11,0.72,5.4,2.7,16.8,10.7,19.9,15.2,8.8,-11.5,28.7682072451781,1.15
2004-08,2004-12,0.71,7,8,12,0.05,-14.7,-16.3,0.0,-11.7,-2.4,-11.7,4.7,-27.5,-31.462670769523292,1.07
2006-09,2006-11,0.88,5,9,11,0.98,3.1,1.4,0.0,-10.5,18.8,-0.7,8.4,-2.4,-4.016604172533476,1.27
2009-07,2009-12,1.5,9,7,12,1.39,10.7,7.7,21.5,16.4,33.7,22.4,57.4,25.2,47.882289267981676,1.68
2014-10,2015-12,2.59,20,10,12,0.31,3.3,10.9,7.7,16.8,2.6,22.7,15.5,27.7,-24.37878788945558,1.55
2018-09,2018-12,1.05,10,9,12,0.91,-4.8,-3.4,0.5,0.2,-15.9,-13.3,-14.6,-22.5,-17.154242253912738,1.9
2019-10,2019-12,0.75,6,10,12,-0.61,2.4,3.5,-12.9,-6.0,3.6,-8.8,52.5,17.2,-25.35490660823223,1.67
2023-06,2023-12,1.99,11,6,12,1.55,2.9,3.6,-1.0,0.3,-13.6,-16.4,-16.4,-20.5,-19.319122903085862,2.0
