sector,ticker,pair,date,t,entry,entry_reason,days_into_window,etf_depth_pct,ema_state,support_level,support_band_lo,support_band_hi,support_age,support_touches,n_levels,lower_shadow,stk_vol_ratio,stk_ret_day,rs5,vix,spy_above_ma100,etf_t_index,fwd1,fwd5,fwd10,fwd20,support_broken_day,cls
XLF,JPM,XLF/JPM,2000-05-05,1349,22.723,连续3日低于EMA20,2,-2.67,EMA10<EMA20,21.447,20.545,22.348,231,分形支撑(5触),1,0.67,1.77,-1.45,5.83,27.5,True,345,-0.26,-0.78,0.43,9.96,,横盘消化
XLF,JPM,XLF/JPM,2001-02-22,1550,23.292,连续3日低于EMA20,3,-4.84,EMA10<EMA20,21.291,20.537,22.045,193,分形支撑(7触),1,0.81,1.53,2.01,0.21,26.8,False,546,-2.59,-4.53,4.02,-19.44,,支撑击穿
XLF,JPM,XLF/JPM,2001-03-22,1570,18.764,连续3日低于EMA20,7,-8.94,EMA10<EMA20,17.534,16.727,18.34,107,分形支撑(3触),1,0.54,1.64,-3.21,-5.84,32.8,False,566,7.2,10.51,10.13,23.86,,V型反转
XLF,JPM,XLF/JPM,2001-08-24,1678,20.05,死叉,12,-1.02,EMA10<EMA20,19.065,18.551,19.578,96,分形支撑(1触),1,0.35,1.99,0.52,-1.8,19.7,False,674,0.42,-3.74,-8.97,-16.56,8.0,支撑击穿
XLF,JPM,XLF/JPM,2001-09-06,1686,18.095,死叉,20,-5.23,EMA10<EMA20,17.92,17.42,18.419,223,分形支撑(3触),1,0.29,1.76,-3.68,-2.97,28.6,False,682,0.16,-7.66,-11.78,-8.72,3.0,支撑击穿
XLF,JPM,XLF/JPM,2001-09-17,1689,17.267,死叉,23,-9.02,EMA10<EMA20,16.965,16.473,17.457,192,分形支撑(1触),1,0.55,2.68,-5.39,-2.67,41.8,False,685,-1.16,-7.57,-3.55,-3.89,3.0,支撑击穿
XLF,JPM,XLF/JPM,2001-09-20,1692,15.46,死叉,26,-11.99,EMA10<EMA20,15.499,15.015,15.983,225,分形支撑(1触),1,0.11,1.43,-7.48,-4.46,43.7,False,688,-2.34,4.94,9.3,9.24,,V型反转
XLF,JPM,XLF/JPM,2002-01-29,1781,16.004,死叉,0,-3.95,EMA10<EMA20,15.804,15.342,16.267,74,分形支撑(2触),1,0.12,1.82,-6.59,-6.2,24.4,False,777,3.15,-9.45,-1.75,-9.64,4.0,支撑击穿
XLF,JPM,XLF/JPM,2002-02-05,1786,14.491,死叉,5,-4.42,EMA10<EMA20,14.225,13.763,14.687,90,分形支撑(1触),1,0.32,2.37,-5.04,-7.47,25.5,False,782,1.45,8.51,1.34,17.33,,V型反转
XLF,JPM,XLF/JPM,2002-05-30,1865,18.156,死叉,2,-1.22,EMA10<EMA20,17.242,16.784,17.7,142,分形支撑(8触),1,0.55,1.37,-2.6,-3.04,20.6,False,861,-0.17,-6.44,-9.3,-9.14,8.0,支撑击穿
