time_bj,time_et,open,high,low,close,volume,turnover
2026-03-02 16:00,2026-03-02 03:00,173.178775608,173.358556331,173.018970521,173.108860882,36079,6254693.4
2026-03-02 16:05,2026-03-02 03:05,173.098873064,173.448446693,172.949055795,173.198751244,46674,8092672.15
2026-03-02 16:10,2026-03-02 03:10,173.21872688,173.398507603,173.048933974,173.198751244,37025,6421061.52
2026-03-02 16:15,2026-03-02 03:15,173.198751244,173.388519785,172.889128887,173.288641606,54516,9445755.38
2026-03-02 16:20,2026-03-02 03:20,173.278653788,173.488397965,172.939067977,173.098873064,52051,9025939.79
2026-03-02 16:25,2026-03-02 03:25,173.158799972,173.368544149,173.098873064,173.148812154,30471,5284440.26
2026-03-02 16:30,2026-03-02 03:30,173.148812154,173.358556331,173.06890961,173.098873064,30753,5333003.92
2026-03-02 16:35,2026-03-02 03:35,173.108860882,173.718117778,173.048933974,173.598263962,51697,8978022.13
2026-03-02 16:40,2026-03-02 03:40,173.618239598,174.09765486,173.618239598,174.057703588,54481,9485636.47
2026-03-02 16:45,2026-03-02 03:45,174.037727953,174.037727953,173.728105596,173.827983775,23138,4028211.98
2026-03-02 16:50,2026-03-02 03:50,173.827983775,174.207520858,173.718117778,174.187545222,33665,5865672.97
2026-03-02 16:55,2026-03-02 03:55,174.19753304,174.237484312,173.808008139,173.907886319,17043,2971341.57
2026-03-02 17:00,2026-03-02 04:00,173.857947229,174.077679224,173.798020321,173.867935047,12170,2119288.77
