ticker,kind,price,band_lo,band_hi,touches,first_touch,last_touch,dist_pct,signal,last_date,last_close
abbv,阻力,267.47,264.42,270.52,1,2026-07-29,2026-07-29,3.61,near,2026-08-27,258.15
adm,战术支撑,74.98,72.87,77.09,6,2022-03-29,2026-08-07,-5.21,near,2026-08-27,79.1
afrm,支撑,69.62,66.6,72.64,1,2026-07-29,2026-07-29,-6.3,near,2026-09-03,74.3
awk,阻力,140.99,138.18,143.81,8,2022-06-06,2026-03-12,2.55,near,2026-08-26,137.49
axp,战术阻力,348.99,341.65,356.33,2,2025-09-23,2026-08-05,3.82,near,2026-08-26,336.15
ba,支撑,205.92,200.32,211.53,2,2026-06-10,2026-07-21,-2.91,near,2026-08-26,212.09
bdx,阻力,198.11,194.74,201.49,4,2022-02-09,2023-10-10,4.15,near,2026-08-26,190.21
bkng,战术支撑,204.02,199.17,208.87,2,2025-05-09,2026-08-17,-2.33,near,2026-08-26,208.89
blk,阻力,1200.54,1183.1,1217.98,1,2025-10-15,2025-10-15,2.33,near,2026-08-26,1173.21
brk.b,支撑,487.49,481.37,493.61,2,2025-12-10,2026-07-23,-3.45,near,2026-08-26,504.91
bx,战术阻力,152.43,146.78,158.08,5,2024-09-20,2026-08-13,6.45,near,2026-08-26,143.2
cf,阻力,129.23,126.88,131.59,1,2026-05-12,2026-05-12,2.8,near,2026-08-27,125.71
cl,支撑,80.86,79.54,82.18,3,2024-04-12,2026-04-21,-3.05,near,2026-08-28,83.4
coin,阻力,210.14,198.11,222.18,2,2022-03-29,2026-03-05,9.05,near,2026-09-03,192.7
cost,战术支撑,935.02,915.32,954.72,3,2025-04-21,2026-08-12,-2.21,near,2026-08-26,956.12
cost,阻力,993.22,980.09,1006.36,3,2024-12-16,2026-07-28,3.88,near,2026-08-26,956.12
cost,支撑,918.36,905.23,931.5,2,2025-07-31,2026-07-10,-3.95,near,2026-08-26,956.12
cprt,阻力,34.21,33.28,35.14,2,2022-12-01,2026-04-21,4.71,near,2026-08-26,32.67
dji,阻力,54744.33,54282.95,55205.71,1,2026-08-05,2026-08-05,1.97,near,2026-09-03,53686.11
duk,支撑,118.72,117.07,120.37,1,2026-06-02,2026-06-02,-2.6,near,2026-08-26,121.89
etr,支撑,104.31,103.26,105.35,1,2026-06-01,2026-06-01,-2.72,near,2026-08-26,107.23
fdx,阻力,344.08,339.61,348.54,1,2026-06-15,2026-06-15,2.41,near,2026-08-26,335.99
fmc,战术阻力,13.46,10.67,16.24,8,2025-11-12,2026-07-22,26.27,near,2026-08-27,10.66
hon,支撑,214.47,210.81,218.12,3,2025-06-20,2026-06-10,-2.81,near,2026-08-26,220.67
ice,阻力,167.58,165.26,169.9,1,2026-04-08,2026-04-08,3.5,near,2026-08-26,161.92
ilmn,阻力,230.95,225.43,236.47,2,2022-08-11,2023-03-13,2.72,near,2026-08-26,224.84
jnj,战术阻力,275.68,272.13,279.24,2,2026-07-28,2026-08-19,2.1,near,2026-08-26,270.0
kbwb,战术支撑,93.38,91.61,95.16,2,2026-07-01,2026-07-29,-3.25,near,2026-08-26,96.52
kbwb,战术阻力,100.61,98.84,102.38,2,2026-07-16,2026-08-17,4.24,near,2026-08-26,96.52
kie,阻力,66.53,65.81,67.25,1,2026-07-28,2026-07-28,3.76,near,2026-08-26,64.12
kkr,战术支撑,102.52,98.58,106.45,3,2024-07-02,2026-08-10,-5.51,near,2026-08-26,108.5
kre,战术阻力,77.88,75.91,79.86,4,2026-07-02,2026-08-17,4.42,near,2026-08-26,74.58
lnt,支撑,67.09,66.12,68.06,1,2026-03-20,2026-03-20,-2.66,near,2026-08-26,68.92
lnt,战术阻力,71.63,70.18,73.08,4,2026-02-17,2026-08-18,3.93,near,2026-08-26,68.92
low,支撑,202.14,197.2,207.07,6,2024-05-29,2026-07-23,-3.91,near,2026-08-26,210.36
mar,战术支撑,343.0,335.73,350.27,3,2026-05-04,2026-08-04,-4.37,near,2026-08-26,358.67
mcd,战术支撑,249.27,242.94,255.6,7,2022-11-15,2024-08-12,-4.15,near,2026-08-27,260.06
mmm,阻力,184.9,182.47,187.33,1,2026-07-28,2026-07-28,2.72,near,2026-08-26,180.0
moo,阻力,86.16,85.22,87.1,5,2021-11-08,2026-04-09,2.24,near,2026-08-27,84.27
mrsh,战术支撑,182.65,177.96,187.35,5,2023-09-06,2026-08-17,-3.87,near,2026-08-27,190.0
ms,战术支撑,204.6,201.2,207.99,4,2026-06-10,2026-07-29,-4.43,near,2026-08-26,214.08
msft,战术阻力,512.38,501.11,523.65,3,2025-09-19,2026-08-10,3.23,near,2026-08-26,496.37
nvda,战术阻力,229.96,225.32,234.61,2,2026-06-02,2026-08-17,4.5,near,2026-08-31,220.05
pg,阻力,151.29,149.08,153.5,1,2026-04-24,2026-04-24,4.34,near,2026-08-26,145.0
pg,支撑,138.65,136.44,140.86,3,2023-08-22,2026-06-01,-4.38,near,2026-08-26,145.0
pltr,战术阻力,186.52,184.94,188.09,2,2025-09-23,2026-01-07,2.19,near,2026-09-03,182.53
pltr,战术阻力,188.2,186.62,189.78,2,2025-10-02,2026-01-07,3.11,near,2026-09-03,182.53
qqq,战术阻力,730.49,720.11,740.88,4,2026-05-14,2026-08-17,1.79,near,2026-09-03,717.67
qqq,战术支撑,700.23,689.84,710.61,4,2026-05-19,2026-08-24,-2.43,near,2026-09-03,717.67
rsg,阻力,228.22,225.52,230.92,1,2026-07-17,2026-07-17,2.72,near,2026-08-26,222.18
sbux,战术支撑,101.82,98.7,104.95,5,2026-05-07,2026-08-20,-5.07,near,2026-08-27,107.26
so,支撑,87.88,86.65,89.1,2,2025-09-19,2026-06-01,-2.09,near,2026-08-26,89.76
so,战术支撑,86.08,84.25,87.92,3,2025-06-17,2026-01-23,-4.1,near,2026-08-26,89.76
sre,支撑,82.74,81.3,84.17,1,2026-01-21,2026-01-21,-2.98,near,2026-08-26,85.28
tmo,阻力,663.58,650.73,676.43,1,2021-12-31,2021-12-31,4.71,near,2026-08-26,633.71
unh,战术阻力,423.55,408.78,438.32,3,2021-11-01,2026-06-15,5.62,near,2026-08-26,401.01
utes,支撑,74.09,73.32,74.85,1,2026-02-05,2026-02-05,-1.32,near,2026-08-26,75.08
vrt,战术阻力,275.77,270.97,280.57,2,2026-03-11,2026-08-27,2.58,near,2026-09-03,268.83
wat,阻力,423.56,414.26,432.86,1,2025-01-30,2025-01-30,2.27,near,2026-08-26,414.17
xel,支撑,75.96,74.77,77.15,3,2025-10-30,2026-06-01,-2.21,near,2026-08-26,77.68
xlc,阻力,114.03,112.83,115.23,1,2026-07-16,2026-07-16,1.26,near,2026-08-26,112.61
xli,战术支撑,176.93,174.5,179.36,3,2026-06-23,2026-07-30,-1.89,near,2026-08-26,180.34
xli,战术阻力,185.65,183.22,188.08,3,2026-06-25,2026-07-27,2.94,near,2026-08-26,180.34
xlk,战术阻力,191.35,188.71,193.98,2,2026-06-30,2026-08-17,1.45,near,2026-08-27,188.61
xlk,战术阻力,194.3,191.66,196.94,2,2026-06-22,2026-08-17,3.02,near,2026-08-27,188.61
xlp,战术支撑,82.59,81.38,83.8,5,2026-05-11,2026-07-23,-2.93,near,2026-08-27,85.08
xlre,阻力,46.46,45.86,47.05,1,2026-07-28,2026-07-28,4.03,near,2026-08-27,44.66
