label,sector,sector_name,event_date,entry_date,exit_date,entry_price,exit_price,pnl_pct,base_vol,v5,v10,v15,v20,v30,v45,v60,v90,s1_30,s31_60,s61_90
XLK 2002 中期,XLK,科技,2002-11-05,2002-10-22,2002-11-05,5.2,5.83,26.36,2.252,-3.1,26.4,40.9,39.8,32.0,28.0,29.7,36.7,18.8,9.3,34.0
XLK 2006 中期,XLK,科技,2006-11-07,2006-10-24,2006-11-07,8.78,8.89,-13.94,0.817,-12.9,-13.9,-17.1,-17.5,-7.2,-3.2,-2.3,9.9,-17.6,8.3,19.6
XLK 2010 中期,XLK,科技,2010-11-02,2010-10-19,2010-11-02,9.69,10.01,5.62,0.803,-0.2,5.6,3.4,5.0,1.2,12.4,16.8,35.2,-34.8,-2.8,21.4
XLK 2014 中期,XLK,科技,2014-11-04,2014-10-21,2014-11-04,16.83,17.72,26.02,0.804,1.1,26.0,39.8,44.4,32.6,6.1,-4.1,-10.0,42.7,-44.2,-14.3
XLK 2018 中期,XLK,科技,2018-11-06,2018-10-23,2018-11-06,32.74,32.17,73.63,1.357,70.4,73.6,74.0,61.1,24.1,0.7,-15.0,-20.0,39.0,-52.3,-36.7
XLK 2022 中期,XLK,科技,2022-11-08,2022-10-25,2022-11-08,62.53,60.44,0.88,2.189,10.5,0.9,0.9,4.3,-5.1,-7.5,-13.2,-17.0,0.4,-28.3,-32.3
XLE 2002 中期,XLE,能源,2002-11-05,2002-10-22,2002-11-05,5.77,5.79,57.18,1.287,58.3,57.2,56.3,57.5,66.9,58.5,65.9,77.7,60.5,38.6,131.4
XLE 2006 中期,XLE,能源,2006-11-07,2006-10-24,2006-11-07,15.5,15.71,-2.38,1.437,-6.2,-2.4,3.2,10.8,14.2,18.7,8.8,5.0,5.7,8.3,-9.9
XLE 2010 中期,XLE,能源,2010-11-02,2010-10-19,2010-11-02,17.18,17.7,-24.33,1.194,-28.0,-24.3,-21.3,-17.1,-18.2,-4.9,-1.8,6.6,-31.3,1.7,10.2
XLE 2014 中期,XLE,能源,2014-11-04,2014-10-21,2014-11-04,27.25,26.71,158.13,0.723,142.2,158.1,149.6,130.5,96.4,69.6,56.5,44.1,123.6,6.2,31.8
XLE 2018 中期,XLE,能源,2018-11-06,2018-10-23,2018-11-06,24.48,24.52,37.71,1.23,53.3,37.7,32.2,26.2,2.5,-13.5,-12.5,-15.1,19.6,-22.4,-30.0
XLE 2022 中期,XLE,能源,2022-11-08,2022-10-25,2022-11-08,38.56,41.05,-33.56,2.169,-43.4,-33.6,-20.5,-9.7,8.0,3.9,-0.9,3.2,-12.3,-5.0,-3.7
XLV 2002 中期,XLV,医疗保健,2002-11-05,2002-10-22,2002-11-05,18.58,18.6,16.4,1.097,8.3,16.4,25.8,43.5,56.9,60.6,70.3,101.8,52.5,64.5,184.9
XLV 2006 中期,XLV,医疗保健,2006-11-07,2006-10-24,2006-11-07,24.06,23.98,-10.82,0.597,-9.2,-10.8,-14.0,-16.6,-21.0,-16.7,-19.8,-5.5,-16.2,-21.4,12.5
XLV 2010 中期,XLV,医疗保健,2010-11-02,2010-10-19,2010-11-02,23.62,24.1,11.04,0.737,13.1,11.0,6.7,9.8,4.3,15.3,23.3,24.0,-15.3,25.8,12.9
XLV 2014 中期,XLV,医疗保健,2014-11-04,2014-10-21,2014-11-04,52.41,55.55,44.12,0.893,15.1,44.1,55.6,56.9,40.5,11.0,2.3,-3.9,46.1,-43.0,-11.2
XLV 2018 中期,XLV,医疗保健,2018-11-06,2018-10-23,2018-11-06,79.04,79.25,36.13,1.123,22.5,36.1,39.6,26.7,-2.4,-20.8,-32.9,-36.6,10.6,-61.8,-48.0
XLV 2022 中期,XLV,医疗保健,2022-11-08,2022-10-25,2022-11-08,122.1,124.84,-5.46,1.307,-10.2,-5.5,-2.2,3.2,2.0,4.0,-4.4,-10.1,-0.2,-10.6,-26.5
XLF 2002 中期,XLF,金融,2002-11-05,2002-10-22,2002-11-05,11.42,11.67,79.94,1.249,18.6,79.9,129.4,148.1,127.5,102.0,97.7,103.6,140.7,50.9,146.0
XLF 2006 中期,XLF,金融,2006-11-07,2006-10-24,2006-11-07,19.46,19.6,-30.58,0.712,-27.3,-30.6,-34.3,-31.3,-27.6,-27.2,-23.6,-4.8,-32.4,-28.4,13.1
XLF 2010 中期,XLF,金融,2010-11-02,2010-10-19,2010-11-02,8.84,8.92,-4.63,1.206,-16.3,-4.6,-5.5,-3.3,3.6,16.1,12.9,25.1,-24.3,3.3,19.3
XLF 2014 中期,XLF,金融,2014-11-04,2014-10-21,2014-11-04,14.92,15.62,28.99,0.803,3.8,29.0,42.0,44.8,29.5,5.6,-0.3,-6.5,34.9,-38.5,-10.5
XLF 2018 中期,XLF,金融,2018-11-06,2018-10-23,2018-11-06,22.35,23.25,22.51,1.273,22.4,22.5,23.8,17.4,0.7,-17.8,-23.8,-28.1,6.5,-44.6,-36.0
XLF 2022 中期,XLF,金融,2022-11-08,2022-10-25,2022-11-08,30.99,32.34,0.02,1.595,-13.3,0.0,11.4,18.0,13.8,7.3,-0.3,-5.8,5.4,-18.6,-25.1
XLP 2002 中期,XLP,必需消费,2002-11-05,2002-10-22,2002-11-05,11.55,11.3,60.51,0.951,60.7,60.5,53.2,58.4,66.3,53.2,49.4,58.0,64.4,31.9,99.7
XLP 2006 中期,XLP,必需消费,2006-11-07,2006-10-24,2006-11-07,15.22,15.15,-16.0,0.576,-6.2,-16.0,-23.5,-20.2,-15.8,-17.7,-20.2,-5.9,-23.7,-30.0,7.0
XLP 2010 中期,XLP,必需消费,2010-11-02,2010-10-19,2010-11-02,18.56,18.86,9.02,0.549,13.1,9.0,-2.0,0.4,2.9,7.9,13.4,30.8,-21.7,-3.3,27.4
XLP 2014 中期,XLP,必需消费,2014-11-04,2014-10-21,2014-11-04,33.25,34.48,56.63,0.484,14.3,56.6,72.8,71.7,64.7,36.5,28.2,21.0,75.5,-21.1,35.2
XLP 2018 中期,XLP,必需消费,2018-11-06,2018-10-23,2018-11-06,44.29,45.6,17.29,0.996,22.5,17.3,19.1,12.6,-1.2,-16.6,-21.3,-26.8,9.9,-33.1,-32.4
XLP 2022 中期,XLP,必需消费,2022-11-08,2022-10-25,2022-11-08,64.27,65.75,13.18,1.09,13.0,13.2,14.0,16.6,15.1,14.6,3.6,-7.4,12.7,-9.5,-41.2
XLU 2002 中期,XLU,公用事业,2002-11-05,2002-10-22,2002-11-05,3.76,4.18,117.5,1.133,76.7,117.5,168.1,184.7,170.8,125.8,114.2,136.9,164.5,62.1,206.7
XLU 2006 中期,XLU,公用事业,2006-11-07,2006-10-24,2006-11-07,9.02,8.93,-40.75,0.818,-36.4,-40.7,-43.8,-41.5,-31.9,-34.9,-30.8,-27.3,-35.1,-31.8,-25.9
XLU 2010 中期,XLU,公用事业,2010-11-02,2010-10-19,2010-11-02,9.35,9.3,-49.87,0.827,-45.7,-49.9,-47.4,-41.3,-28.6,-13.8,-8.0,8.7,-36.3,-1.0,24.3
XLU 2014 中期,XLU,公用事业,2014-11-04,2014-10-21,2014-11-04,15.0,15.61,11.29,0.72,2.5,11.3,24.7,22.0,12.8,17.0,18.0,19.7,8.5,5.4,30.2
XLU 2018 中期,XLU,公用事业,2018-11-06,2018-10-23,2018-11-06,21.2,21.34,39.16,0.937,48.9,39.2,27.0,23.3,20.5,6.8,-4.1,-7.4,25.7,-19.4,-9.7
XLU 2022 中期,XLU,公用事业,2022-11-08,2022-10-25,2022-11-08,29.06,29.57,50.68,1.062,31.7,50.7,66.8,80.1,79.7,66.7,43.0,32.6,73.1,12.1,6.7
