idx,gold_date,gold_close,stand_idx,stand_date,x_days,hold3,hold4,hold5,ret5,ret10,ret20,buy_px,buy_date,buy_status,buy_ret5,buy_ret10,buy_ret20
24,2010-02-03,4.062,26,2010-02-05,2,False,False,False,0.92,5.48,5.11,,,,,,
67,2010-04-07,4.088,69,2010-04-09,2,True,True,True,0.95,-1.1,2.39,4.112,2010-04-15,hit,-1.81,3.48,6.15
79,2010-04-23,4.252,79,2010-04-23,0,False,False,False,0.82,-1.59,-3.64,,,,,,
170,2010-09-01,4.17,170,2010-09-01,0,True,True,True,-0.78,1.62,3.18,4.127,2010-09-07,hit,2.37,3.77,4.86
248,2010-12-22,4.442,248,2010-12-22,0,True,True,True,1.01,1.18,-6.01,4.443,2011-01-04,hit,0.21,-2.04,-8.68
292,2011-02-25,3.888,295,2011-03-02,3,False,False,False,1.41,0.03,2.57,,,,,,
380,2011-07-01,3.98,381,2011-07-05,1,False,False,False,-3.27,-4.27,-5.34,,,,,,
392,2011-07-20,3.898,393,2011-07-21,1,False,False,False,-3.85,-3.34,-3.59,,,,,,
432,2011-09-15,3.658,432,2011-09-15,0,False,False,False,-2.12,-2.05,-2.19,,,,,,
439,2011-09-26,3.635,439,2011-09-26,0,False,False,False,-7.91,-4.88,1.86,,,,,,
452,2011-10-13,3.578,452,2011-10-13,0,True,True,True,-1.05,6.5,3.98,3.583,2011-10-18,hit,2.15,3.89,3.75
650,2012-07-27,3.534,650,2012-07-27,0,False,False,False,-3.15,-3.01,-2.16,,,,,,
761,2013-01-08,3.558,763,2013-01-10,2,False,False,False,-0.91,-4.36,4.15,,,,,,
774,2013-01-28,3.5,775,2013-01-29,1,True,True,True,4.5,6.64,4.86,3.543,,miss,,,
833,2013-04-23,3.68,833,2013-04-23,0,True,True,True,2.31,6.52,7.07,3.665,,miss,,,
1110,2014-05-29,5.752,1113,2014-06-03,3,True,True,True,0.35,-0.13,1.22,5.772,2014-06-06,hit,-0.03,0.66,3.99
1435,2015-09-11,9.59,1438,2015-09-16,3,False,False,False,0.94,5.92,1.54,,,,,,
1609,2016-05-20,9.41,1609,2016-05-20,0,True,True,True,6.3,6.75,-2.52,9.419,2016-06-14,hit,-3.52,-8.96,-3.57
1643,2016-07-11,8.972,1644,2016-07-12,1,True,True,True,2.87,-3.12,-0.22,9.081,2016-07-15,hit,-3.98,-4.09,-2.19
1661,2016-08-04,8.705,1662,2016-08-05,1,True,False,False,1.29,1.23,0.92,8.829,2016-08-10,hit,0.27,-0.72,0.55
1677,2016-08-26,8.828,1677,2016-08-26,0,True,True,False,0.06,1.36,0.14,8.929,2016-08-31,hit,-0.58,-0.35,-1.84
