idx,gold_date,gold_close,stand_idx,stand_date,x_days,hold3,hold4,hold5,ret5,ret10,ret20,buy_px,buy_date,buy_status,buy_ret5,buy_ret10,buy_ret20
11,2018-11-07,87.774,11,2018-11-07,0,False,False,False,-8.91,-13.6,-7.2,,,,,,
24,2018-11-27,79.071,25,2018-11-28,1,True,True,True,5.5,5.19,-7.57,83.48,2018-12-04,hit,-0.36,-10.45,-5.64
47,2019-01-02,76.956,47,2019-01-02,0,True,True,True,7.82,9.4,11.67,77.928,,miss,,,
156,2019-06-10,93.032,156,2019-06-10,0,True,True,True,1.37,2.86,6.86,91.783,,miss,,,
244,2019-10-14,86.822,245,2019-10-15,1,True,True,True,2.84,2.34,2.03,87.782,2019-10-18,hit,0.32,2.04,-0.92
354,2020-03-23,95.142,354,2020-03-23,0,True,True,True,3.21,4.98,22.35,95.953,2020-03-26,hit,-0.01,6.45,25.59
527,2020-11-25,159.254,527,2020-11-25,0,True,True,True,0.05,-2.62,-0.39,158.511,2020-12-01,hit,0.22,-0.16,3.65
599,2021-03-12,154.474,602,2021-03-17,3,False,False,False,-0.47,-1.21,9.38,,,,,,
659,2021-06-08,163.206,659,2021-06-08,0,True,True,True,3.65,7.39,13.25,163.708,,miss,,,
714,2021-08-25,164.959,716,2021-08-27,2,True,True,True,5.45,5.61,3.54,167.192,2021-09-20,hit,1.85,-4.61,3.08
749,2021-10-14,164.993,750,2021-10-15,1,True,True,True,4.1,4.45,5.23,166.772,2021-10-22,hit,1.11,5.5,10.23
825,2022-02-02,150.612,827,2022-02-04,2,True,True,True,7.02,4.97,-1.8,156.351,2022-02-11,hit,-2.4,-1.78,-9.27
827,2022-02-04,157.64,827,2022-02-04,0,True,True,True,-2.76,-3.2,-12.81,154.264,2022-02-11,hit,-1.08,-0.45,-8.05
841,2022-02-25,153.788,841,2022-02-25,0,False,False,False,-5.3,-5.37,7.14,,,,,,
922,2022-06-23,112.44,922,2022-06-23,0,True,False,False,-5.54,2.76,8.88,118.172,2022-06-28,hit,-3.25,-6.58,2.37
1003,2022-10-18,116.36,1006,2022-10-21,3,True,False,False,3.64,-16.82,-14.97,120.099,2022-10-26,hit,-23.3,-28.28,-21.62
1249,2023-10-11,131.83,1249,2023-10-11,0,True,True,True,-2.81,-7.92,7.78,130.63,2023-10-16,hit,-3.12,1.59,9.16
1262,2023-10-30,132.71,1262,2023-10-30,0,True,True,True,5.3,7.44,10.79,131.291,,miss,,,
1461,2024-08-15,177.59,1461,2024-08-15,0,True,True,True,-0.82,-3.08,5.01,183.01,2024-08-20,hit,-5.4,-5.29,1.87
1610,2025-03-21,196.21,1611,2025-03-24,1,False,False,False,-1.78,-12.85,-14.72,,,,,,
1632,2025-04-23,180.6,1633,2025-04-24,1,True,True,True,2.12,4.49,11.36,188.228,2025-04-29,hit,-1.71,12.29,8.76
1758,2025-10-22,217.95,1759,2025-10-23,1,True,True,True,5.67,14.8,2.17,224.691,2025-10-30,hit,8.17,5.74,3.8
1868,2026-04-01,210.57,1868,2026-04-01,0,True,True,True,10.96,18.58,25.88,212.251,2026-04-07,hit,17.32,17.74,28.88
1930,2026-07-01,241.7,1931,2026-07-02,1,True,True,True,2.21,3.39,-2.57,246.196,2026-07-08,hit,3.56,-0.55,10.75
1951,2026-07-31,271.58,1951,2026-07-31,0,True,True,True,1.07,-3.29,,251.209,,miss,,,
