idx,gold_date,gold_close,stand_idx,stand_date,x_days,hold3,hold4,hold5,ret5,ret10,ret20,buy_px,buy_date,buy_status,buy_ret5,buy_ret10,buy_ret20
8,2018-11-02,206.57,9,2018-11-05,1,True,True,True,6.32,5.73,6.89,,,,,,
45,2018-12-28,202.08,45,2018-12-28,0,True,False,False,-2.56,-3.12,-0.01,202.606,2019-01-03,hit,-2.97,-1.89,3.25
108,2019-04-01,205.0,108,2019-04-01,0,True,True,True,0.12,2.31,5.71,205.127,2019-04-04,hit,0.75,2.37,6.57
153,2019-06-05,203.3,153,2019-06-05,0,True,True,True,0.62,1.7,5.83,203.681,2019-06-17,hit,1.56,5.37,4.52
395,2020-05-20,176.02,398,2020-05-26,3,True,True,True,5.16,9.11,2.68,177.932,2020-06-11,hit,1.57,0.52,2.79
427,2020-07-07,181.15,430,2020-07-10,3,True,True,True,4.73,6.14,10.54,182.749,,miss,,,
514,2020-11-06,208.85,514,2020-11-06,0,True,True,True,8.89,8.7,9.76,212.506,,miss,,,
679,2021-07-07,279.24,681,2021-07-09,2,False,False,False,-0.33,0.23,-0.16,,,,,,
681,2021-07-09,280.49,681,2021-07-09,0,False,False,False,-0.92,-0.71,1.83,,,,,,
689,2021-07-21,279.88,689,2021-07-21,0,True,True,True,-0.64,-0.39,2.32,280.355,2021-07-26,hit,-0.79,2.45,1.88
736,2021-09-27,279.72,736,2021-09-27,0,False,False,False,-2.17,0.43,3.77,,,,,,
742,2021-10-05,278.05,742,2021-10-05,0,True,True,True,0.2,2.44,3.55,279.814,2021-10-12,hit,1.79,3.94,2.34
902,2022-05-24,309.17,905,2022-05-27,3,False,False,False,0.98,-0.14,-13.47,,,,,,
992,2022-10-03,272.8,993,2022-10-04,1,True,False,False,-2.15,1.55,8.17,277.357,2022-10-07,hit,-1.69,1.86,3.65
1000,2022-10-13,275.78,1000,2022-10-13,0,True,True,True,-0.82,5.11,9.94,277.299,2022-10-19,hit,4.05,4.39,11.35
1113,2023-03-28,302.32,1114,2023-03-29,1,True,True,True,2.23,4.05,6.02,305.688,,miss,,,
1263,2023-10-31,341.33,1264,2023-11-01,1,True,True,True,1.42,3.79,5.09,346.1,2023-11-06,hit,1.13,4.4,2.58
1565,2025-01-15,458.51,1565,2025-01-15,0,True,True,True,0.29,3.02,4.79,456.413,2025-01-22,hit,2.81,3.79,5.56
1692,2025-07-21,474.41,1694,2025-07-23,2,True,True,False,1.54,-3.23,0.87,483.156,2025-07-28,hit,-4.98,-3.81,0.63
1709,2025-08-13,477.31,1709,2025-08-13,0,True,True,True,2.38,3.86,4.11,476.387,2025-08-18,hit,2.06,5.2,3.07
1871,2026-04-07,478.08,1873,2026-04-09,2,False,False,False,-0.11,-2.0,-2.63,,,,,,
1886,2026-04-28,478.16,1886,2026-04-28,0,False,False,False,-2.64,1.42,0.37,,,,,,
1892,2026-05-06,469.83,1893,2026-05-07,1,True,True,True,3.34,2.36,1.87,477.019,2026-05-21,hit,-0.53,2.33,2.45
