idx,gold_date,gold_close,stand_idx,stand_date,x_days,hold3,hold4,hold5,ret5,ret10,ret20,buy_px,buy_date,buy_status,buy_ret5,buy_ret10,buy_ret20
25,2016-11-07,140.263,25,2016-11-07,0,True,True,True,4.09,5.32,6.35,140.457,,miss,,,
91,2017-02-13,143.757,92,2017-02-14,1,True,True,True,1.6,-0.77,-1.66,144.193,2017-02-23,hit,0.2,-1.56,-1.7
109,2017-03-10,144.905,109,2017-03-10,0,False,False,False,-1.32,-1.85,-0.96,,,,,,
122,2017-03-29,142.034,123,2017-03-30,1,True,True,True,0.98,0.3,-2.02,143.13,2017-04-04,hit,0.44,0.3,-2.27
228,2017-08-29,116.958,231,2017-09-01,3,True,False,False,1.96,-1.35,-0.29,120.122,2017-09-07,hit,-3.35,-1.4,-2.24
239,2017-09-14,116.096,241,2017-09-18,2,False,False,False,2.02,-0.08,-4.99,,,,,,
265,2017-10-20,114.039,265,2017-10-20,0,False,False,False,-12.76,-15.48,-23.58,,,,,,
381,2018-04-10,62.451,384,2018-04-13,3,True,True,True,5.67,12.49,9.35,65.614,2018-04-18,hit,2.47,3.42,9.62
476,2018-08-23,60.01,478,2018-08-27,2,True,True,True,1.83,-1.12,-2.95,61.687,2018-08-30,hit,-3.8,-1.63,-12.42
644,2019-04-26,47.647,644,2019-04-26,0,True,True,True,9.72,5.85,-1.25,47.071,2019-05-24,hit,0.8,6.3,8.73
733,2019-09-03,41.473,734,2019-09-04,1,True,True,True,9.72,12.36,3.36,43.669,2019-09-09,hit,6.94,6.49,-2.41
763,2019-10-15,44.261,763,2019-10-15,0,True,True,True,1.91,2.02,28.46,44.401,2019-10-21,hit,1.7,22.56,28.28
911,2020-05-18,31.217,911,2020-05-18,0,True,True,True,8.45,12.44,19.14,31.685,2020-05-21,hit,3.24,23.82,12.35
970,2020-08-11,33.507,973,2020-08-14,3,False,False,False,-4.31,-2.08,-8.47,,,,,,
979,2020-08-24,33.009,979,2020-08-24,0,False,False,False,-4.37,-7.39,-5.73,,,,,,
995,2020-09-16,33.607,995,2020-09-16,0,True,False,False,-9.48,-7.7,1.04,32.602,2020-09-21,hit,-5.32,-2.11,11.33
1007,2020-10-02,31.814,1007,2020-10-02,0,True,True,True,7.04,14.08,16.12,33.45,2020-10-07,hit,1.51,8.95,16.84
1169,2021-05-26,66.716,1169,2021-05-26,0,True,True,True,5.15,1.72,-1.87,66.499,2021-06-15,hit,-2.44,-2.0,-4.09
1210,2021-07-26,64.326,1210,2021-07-26,0,True,True,False,-2.67,0.34,-2.31,64.9,2021-07-30,hit,0.23,0.61,1.73
1316,2021-12-23,58.501,1318,2021-12-28,2,False,False,False,0.5,7.87,3.1,,,,,,
1371,2022-03-15,57.474,1372,2022-03-16,1,True,True,True,2.76,2.49,-2.54,58.982,2022-03-21,hit,-2.93,-2.91,-3.03
1395,2022-04-19,57.194,1395,2022-04-19,0,True,False,False,-12.31,-15.5,-16.87,57.211,2022-04-22,hit,-18.9,-14.9,-18.14
1511,2022-10-04,42.033,1511,2022-10-04,0,False,False,False,-5.24,4.68,15.8,,,,,,
1571,2022-12-29,52.121,1571,2022-12-29,0,True,True,True,10.08,22.72,23.68,51.737,,miss,,,
1776,2023-10-24,90.615,1776,2023-10-24,0,False,False,False,-4.39,-1.6,5.52,,,,,,
1780,2023-10-30,87.577,1780,2023-10-30,0,False,False,False,1.79,5.2,8.23,,,,,,
1784,2023-11-03,86.867,1785,2023-11-06,1,True,True,True,5.83,10.11,11.58,89.691,,miss,,,
2039,2024-11-08,184.81,2039,2024-11-08,0,True,True,False,-4.26,-1.98,-7.3,181.324,2024-11-14,hit,-1.45,0.46,-8.45
2048,2024-11-21,178.7,2049,2024-11-22,1,True,True,True,1.94,-1.75,-5.78,183.833,2024-11-27,hit,-5.94,-10.34,-7.48
2070,2024-12-24,171.49,2070,2024-12-24,0,False,False,False,-1.69,0.12,13.39,,,,,,
2149,2025-04-22,189.18,2149,2025-04-22,0,True,True,True,5.98,10.27,24.36,188.936,,miss,,,
2312,2025-12-12,299.81,2312,2025-12-12,0,True,True,True,2.47,3.93,9.15,296.415,2025-12-17,hit,6.86,8.21,9.68
2349,2026-02-06,321.0,2349,2026-02-06,0,True,True,True,-1.74,5.6,0.29,311.263,2026-03-09,hit,-2.33,-6.34,-7.28
2389,2026-04-07,288.6,2390,2026-04-08,1,True,True,True,10.19,-0.65,-0.67,299.443,2026-04-16,hit,-5.71,-3.18,-2.64
2410,2026-05-06,305.83,2410,2026-05-06,0,True,True,True,-3.64,-1.85,7.13,292.715,2026-05-13,hit,2.55,9.6,13.68
2420,2026-05-20,300.17,2420,2026-05-20,0,True,True,True,6.88,9.15,19.15,302.169,,miss,,,
