idx,gold_date,gold_close,stand_idx,stand_date,x_days,hold3,hold4,hold5,ret5,ret10,ret20,buy_px,buy_date,buy_status,buy_ret5,buy_ret10,buy_ret20
6,2018-10-31,225.37,6,2018-10-31,0,True,True,True,2.62,-10.15,-13.54,,,,,,
156,2019-06-10,194.12,156,2019-06-10,0,False,False,False,-1.69,1.74,7.03,,,,,,
213,2019-08-29,203.44,213,2019-08-29,0,False,False,False,1.85,8.09,2.72,,,,,,
487,2020-09-30,200.97,487,2020-09-30,0,True,True,True,1.31,5.11,-5.57,201.211,2020-10-05,hit,6.42,2.23,-5.47
786,2021-12-07,400.11,786,2021-12-07,0,True,False,False,-2.82,-4.95,-0.37,400.913,2021-12-10,hit,-4.77,-3.21,-0.43
825,2022-02-02,363.06,827,2022-02-04,2,True,True,True,3.16,-0.83,-8.16,364.418,2022-02-11,hit,-5.04,-6.35,-10.82
853,2022-03-15,329.16,854,2022-03-16,1,True,True,True,4.21,3.19,-2.85,340.05,2022-03-21,hit,-1.4,-3.48,-1.21
876,2022-04-18,329.88,876,2022-04-18,0,True,True,False,-2.56,-5.9,-8.02,331.818,2022-04-22,hit,-7.93,-5.68,-7.54
897,2022-05-17,312.97,897,2022-05-17,0,False,False,False,0.31,2.84,-7.32,,,,,,
938,2022-07-18,301.26,938,2022-07-18,0,True,True,True,7.59,10.23,18.12,300.413,,miss,,,
1000,2022-10-13,307.07,1002,2022-10-17,2,True,True,True,1.22,9.81,23.2,311.415,2022-10-20,hit,8.27,12.03,21.95
1058,2023-01-06,348.08,1059,2023-01-09,1,True,True,True,7.45,0.3,6.53,351.716,2023-01-17,hit,-0.96,4.01,5.7
1071,2023-01-26,354.97,1071,2023-01-26,0,True,True,True,4.08,3.67,2.5,363.696,2023-01-31,hit,2.94,2.22,-4.8
1113,2023-03-28,318.44,1116,2023-03-31,3,False,False,False,1.32,3.71,5.69,,,,,,
1155,2023-05-26,332.01,1155,2023-05-26,0,False,False,False,-3.07,2.25,-5.59,,,,,,
1161,2023-06-06,326.8,1161,2023-06-06,0,True,True,True,4.8,-0.53,-4.22,330.061,2023-06-20,hit,-5.03,-3.03,3.18
1185,2023-07-12,326.4,1185,2023-07-12,0,True,True,True,4.34,9.55,4.99,326.283,2023-07-17,hit,10.01,9.07,3.51
1226,2023-09-08,325.52,1228,2023-09-12,2,True,True,True,5.23,0.73,-4.01,331.469,2023-09-21,hit,-1.89,-6.33,-9.74
1263,2023-10-31,303.61,1264,2023-11-01,1,True,True,True,6.7,11.56,12.07,312.278,,miss,,,
1485,2024-09-19,503.83,1485,2024-09-19,0,True,True,True,-1.37,-3.52,5.0,492.938,2024-09-25,hit,-0.19,2.48,4.92
1609,2025-03-20,562.68,1611,2025-03-24,2,False,False,False,-0.67,-9.14,-9.45,,,,,,
1861,2026-03-23,831.27,1863,2026-03-25,2,False,False,False,-2.85,3.96,11.46,,,,,,
