idx,gold_date,gold_close,stand_idx,stand_date,x_days,hold3,hold4,hold5,ret5,ret10,ret20,buy_px,buy_date,buy_status,buy_ret5,buy_ret10,buy_ret20
62,2010-08-17,59.22,62,2010-08-17,0,False,False,False,-2.04,-3.71,3.09,,,,,,
158,2011-01-03,62.82,158,2011-01-03,0,True,True,False,-1.05,-1.15,-3.49,62.656,2011-01-07,hit,-0.17,-0.7,-2.85
169,2011-01-19,62.56,169,2011-01-19,0,True,False,False,-3.13,-3.1,-3.26,63.048,2011-01-24,hit,-5.2,-3.45,-3.8
196,2011-02-28,61.44,196,2011-02-28,0,True,True,True,-1.69,-3.76,-3.58,61.009,2011-03-03,hit,-2.29,-4.72,-2.88
215,2011-03-25,58.98,218,2011-03-30,3,True,True,True,0.86,0.81,8.7,59.61,2011-04-04,hit,0.42,1.43,11.16
313,2011-08-15,64.59,313,2011-08-15,0,True,False,False,-2.01,1.97,-1.52,64.676,2011-08-18,hit,-0.19,1.01,-0.13
352,2011-10-10,64.43,352,2011-10-10,0,True,True,True,-0.99,0.47,-0.67,64.118,2011-10-13,hit,-2.48,2.16,0.0
361,2011-10-21,63.78,361,2011-10-21,0,True,True,True,2.85,0.53,0.11,64.259,2011-10-26,hit,-0.96,-1.13,-3.53
457,2012-03-12,65.1,457,2012-03-12,0,True,True,True,0.17,0.11,-1.38,65.167,2012-03-15,hit,-1.08,0.57,-2.5
518,2012-06-07,62.8,521,2012-06-12,3,True,True,True,4.22,5.72,7.71,63.537,,miss,,,
833,2013-09-10,88.53,833,2013-09-10,0,True,True,True,0.6,-0.35,-3.3,88.459,2013-09-13,hit,1.38,-1.95,1.12
1065,2014-08-12,100.63,1066,2014-08-13,1,True,True,True,2.32,2.79,4.33,102.176,2014-08-18,hit,1.03,1.16,3.63
1116,2014-10-23,102.63,1116,2014-10-23,0,True,True,True,4.3,6.22,5.41,103.429,,miss,,,
1215,2015-03-18,101.46,1215,2015-03-18,0,True,True,True,-1.1,-2.28,-1.65,102.089,2015-03-24,hit,-1.46,-1.89,-1.63
1230,2015-04-09,101.33,1230,2015-04-09,0,False,False,False,-1.52,-0.86,-1.65,,,,,,
1239,2015-04-22,100.43,1240,2015-04-23,1,True,True,False,-0.04,-1.25,3.16,101.327,2015-04-28,hit,-1.8,-0.85,-0.19
1251,2015-05-08,101.47,1251,2015-05-08,0,True,True,True,0.82,-0.12,-3.46,100.972,2015-05-13,hit,2.6,0.18,-1.72
1279,2015-06-18,100.36,1279,2015-06-18,0,True,True,False,-1.24,-1.91,-0.28,100.019,2015-06-23,hit,-2.56,-2.25,0.16
1291,2015-07-07,98.92,1294,2015-07-10,3,True,True,True,0.87,1.44,0.89,99.96,2015-07-15,hit,0.22,-0.23,-1.25
1294,2015-07-10,99.53,1294,2015-07-10,0,True,True,True,0.55,-0.38,-0.68,99.605,2015-07-24,hit,0.61,-0.76,-4.06
1339,2015-09-14,93.32,1341,2015-09-16,2,False,False,False,-0.2,-2.09,2.86,,,,,,
1350,2015-09-29,93.04,1353,2015-10-02,3,True,True,True,0.41,2.59,7.68,94.856,2015-10-07,hit,-0.34,2.92,7.47
1431,2016-01-26,101.18,1431,2016-01-26,0,True,True,True,2.2,0.78,3.74,99.487,,miss,,,
1597,2016-09-21,118.91,1598,2016-09-22,1,False,False,False,0.4,0.23,-3.63,,,,,,
1654,2016-12-12,115.36,1654,2016-12-12,0,True,True,True,0.57,0.48,-0.55,113.949,2016-12-22,hit,1.11,2.05,-1.92
1691,2017-02-06,113.4,1694,2017-02-09,3,True,True,True,2.19,5.52,9.2,114.429,,miss,,,
1752,2017-05-04,123.95,1752,2017-05-04,0,False,False,False,-0.61,2.44,4.95,,,,,,
1758,2017-05-12,123.64,1758,2017-05-12,0,True,True,True,2.72,2.65,6.62,124.077,,miss,,,
1841,2017-09-11,133.21,1841,2017-09-11,0,True,True,True,1.63,-1.53,0.18,132.416,2017-09-14,hit,-0.5,-2.22,3.33
1982,2018-04-04,130.41,1982,2018-04-04,0,True,True,True,-0.6,-2.06,-5.3,131.044,2018-04-09,hit,0.55,-3.22,-5.69
2009,2018-05-11,127.24,2009,2018-05-11,0,False,False,False,-2.36,-4.53,-3.6,,,,,,
2026,2018-06-06,122.79,2027,2018-06-07,1,False,False,False,-0.13,-0.61,1.8,,,,,,
2340,2019-09-05,128.58,2343,2019-09-10,3,True,True,False,1.44,1.19,2.03,131.048,2019-09-13,hit,0.46,-1.87,0.22
2343,2019-09-10,129.55,2343,2019-09-10,0,True,True,False,0.09,1.54,1.77,131.043,2019-09-13,hit,0.46,-1.86,0.22
2482,2020-03-30,133.01,2482,2020-03-30,0,True,True,True,5.07,9.79,13.82,133.342,2020-04-02,hit,5.92,14.01,11.21
2549,2020-07-06,142.98,2549,2020-07-06,0,True,False,False,1.56,4.63,3.06,144.19,2020-07-09,hit,3.51,3.76,2.33
2610,2020-09-30,148.88,2610,2020-09-30,0,False,False,False,-0.67,-0.52,-7.07,,,,,,
2638,2020-11-09,146.08,2638,2020-11-09,0,True,True,True,3.27,-1.51,3.74,144.219,2020-11-23,hit,2.24,5.08,5.89
2723,2021-03-15,160.42,2723,2021-03-15,0,True,True,True,0.05,3.5,-0.59,160.777,2021-03-18,hit,0.74,1.28,0.91
2798,2021-06-30,164.74,2798,2021-06-30,0,True,True,True,2.63,2.2,4.52,165.498,2021-07-19,hit,3.85,4.09,7.46
3071,2022-08-01,173.91,3073,2022-08-03,2,False,False,False,-2.13,-4.5,-6.27,,,,,,
3123,2022-10-13,165.15,3123,2022-10-13,0,True,True,True,-0.02,4.34,5.64,165.684,2022-10-18,hit,3.03,4.47,4.05
3545,2024-06-20,147.78,3545,2024-06-20,0,True,False,False,-1.34,-0.88,4.68,147.853,2024-06-25,hit,-1.23,1.07,5.7
3557,2024-07-09,147.05,3557,2024-07-09,0,True,True,True,2.69,3.6,8.11,148.468,,miss,,,
3626,2024-10-15,164.1,3626,2024-10-15,0,True,True,True,-0.4,-2.44,-6.98,162.572,2024-10-21,hit,-0.6,-2.66,-4.8
3752,2025-04-17,157.47,3752,2025-04-17,0,True,False,False,-1.84,-0.86,-3.9,158.461,2025-04-23,hit,-1.36,-0.73,-3.33
3775,2025-05-21,153.18,3778,2025-05-27,3,True,True,True,0.26,0.31,-2.21,155.562,2025-05-30,hit,-0.34,0.99,-1.81
3802,2025-07-01,155.92,3802,2025-07-01,0,True,True,True,0.23,5.68,7.27,155.139,2025-07-07,hit,1.08,5.94,10.25
4020,2026-05-13,230.42,4020,2026-05-13,0,True,True,True,-0.48,0.16,3.43,229.579,2026-05-18,hit,0.26,-2.91,2.44
