idx,gold_date,gold_close,stand_idx,stand_date,x_days,hold3,hold4,hold5,ret5,ret10,ret20,buy_px,buy_date,buy_status,buy_ret5,buy_ret10,buy_ret20
11,2016-10-18,143.39,11,2016-10-18,0,True,True,True,0.27,-2.76,6.17,139.006,2016-11-01,hit,2.8,9.51,13.89
134,2017-04-17,167.18,134,2017-04-17,0,True,True,True,3.08,4.43,2.6,166.83,2017-05-17,hit,5.25,7.64,8.12
364,2018-03-15,229.48,364,2018-03-15,0,False,False,False,-6.22,-6.75,-2.27,,,,,,
528,2018-11-06,263.54,528,2018-11-06,0,True,True,True,2.16,-0.77,5.05,265.552,2018-11-14,hit,-1.88,6.4,-0.2
644,2019-04-26,237.0,644,2019-04-26,0,False,False,False,-2.13,1.51,4.49,,,,,,
758,2019-10-08,220.11,760,2019-10-10,2,False,False,False,8.4,13.34,13.72,,,,,,
844,2020-02-11,290.79,844,2020-02-11,0,True,True,True,4.99,-9.56,-4.47,294.12,2020-02-24,hit,-7.14,-7.03,-33.75
876,2020-03-27,242.45,877,2020-03-30,1,False,False,False,-5.35,8.69,21.25,,,,,,
1104,2021-02-23,329.51,1107,2021-02-26,3,True,True,True,1.56,6.82,11.83,334.532,2021-03-03,hit,4.5,5.28,11.22
1191,2021-06-28,401.46,1194,2021-07-01,3,True,True,True,2.19,4.25,3.4,406.256,2021-07-08,hit,3.4,2.34,1.21
1342,2022-02-01,468.41,1343,2022-02-02,1,True,True,True,5.34,2.1,3.62,474.044,2022-02-14,hit,-2.43,0.47,5.03
1420,2022-05-24,497.56,1420,2022-05-24,0,True,True,False,-1.01,-0.81,0.45,498.159,2022-05-27,hit,-1.6,-5.71,2.06
1511,2022-10-04,523.17,1511,2022-10-04,0,True,False,False,-4.47,-0.18,4.61,523.161,2022-10-07,hit,-1.92,2.02,2.87
1519,2022-10-14,513.13,1519,2022-10-14,0,True,True,True,4.01,7.43,1.74,521.726,2022-10-19,hit,4.11,4.16,-1.96
1549,2022-11-28,532.27,1551,2022-11-30,2,True,True,True,0.52,2.55,-0.05,538.861,2022-12-05,hit,1.3,-2.83,-6.38
1598,2023-02-08,483.22,1600,2023-02-10,2,True,True,True,1.66,1.75,-3.79,497.484,2023-02-15,hit,-1.16,-3.98,-5.12
1625,2023-03-20,476.96,1625,2023-03-20,0,True,True,True,1.04,3.61,5.77,479.756,2023-03-23,hit,-2.02,6.89,0.85
1675,2023-05-31,487.24,1675,2023-05-31,0,True,True,False,-1.05,-5.62,-2.22,487.981,2023-06-06,hit,0.68,-2.3,-3.82
1693,2023-06-27,482.56,1693,2023-06-27,0,False,False,False,-2.35,-6.4,5.27,,,,,,
1749,2023-09-15,486.7,1749,2023-09-15,0,True,True,True,3.99,3.59,10.83,489.674,2023-09-20,hit,2.87,4.28,9.47
1847,2024-02-06,510.67,1848,2024-02-07,1,True,True,True,1.21,2.21,-7.45,518.347,2024-02-12,hit,0.52,-0.95,-5.59
1874,2024-03-15,490.82,1877,2024-03-20,3,False,False,False,-0.15,-0.23,-9.21,,,,,,
1946,2024-06-28,509.26,1946,2024-06-28,0,True,False,False,-3.91,1.2,11.29,497.904,2024-07-03,hit,1.3,13.34,15.04
2037,2024-11-06,596.69,2037,2024-11-06,0,True,True,True,1.54,0.64,-2.97,576.658,2024-12-05,hit,-10.56,-15.16,-10.92
2118,2025-03-07,493.48,2118,2025-03-07,0,False,False,False,-0.98,4.74,6.4,,,,,,
2226,2025-08-12,261.57,2227,2025-08-13,1,True,True,True,16.31,14.86,32.58,271.376,,miss,,,
2301,2025-11-26,329.71,2301,2025-11-26,0,False,False,False,1.15,2.13,0.64,,,,,,
2323,2025-12-30,332.24,2323,2025-12-30,0,True,True,True,2.85,0.82,-12.02,337.776,2026-01-05,hit,0.81,0.19,-15.87
2387,2026-04-02,277.26,2387,2026-04-02,0,True,True,True,9.76,17.09,33.01,283.496,,miss,,,
