date,lng_export_bcfd,pipe_export_bcfd,net_import_bcfd,dry_prod_bcfd
2022-Jan,11.41,8.29,-10.15,95.19
2022-Feb,11.31,8.2,-10.3,96.1
2022-Mar,11.75,8.87,-12.24,97.68
2022-Apr,11.02,8.56,-11.41,98.64
2022-May,11.34,8.56,-12.44,98.71
2022-Jun,10.02,8.44,-10.83,99.0
2022-Jul,9.69,8.37,-9.76,99.79
2022-Aug,9.68,8.32,-10.39,100.44
2022-Sep,9.85,7.7,-9.75,102.0
2022-Oct,9.99,7.89,-10.16,101.81
2022-Nov,10.09,8.41,-10.29,101.94
2022-Dec,10.97,8.34,-9.86,100.48
2023-Jan,10.88,8.76,-10.75,102.05
2023-Feb,11.65,8.88,-11.82,101.65
2023-Mar,11.82,9.16,-12.93,103.11
2023-Apr,12.53,8.16,-13.35,102.25
2023-May,11.83,8.76,-13.62,103.1
2023-Jun,10.93,9.32,-12.53,101.9
2023-Jul,11.27,9.2,-12.21,102.68
2023-Aug,11.39,9.08,-12.52,103.31
2023-Sep,11.55,9.3,-13.19,103.52
2023-Oct,12.4,8.63,-13.58,103.62
2023-Nov,12.88,8.93,-13.44,105.2
2023-Dec,13.64,9.22,-13.94,105.35
2024-Jan,12.78,8.96,-11.32,101.76
2024-Feb,12.4,9.79,-13.28,104.57
2024-Mar,11.93,9.62,-13.7,102.31
2024-Apr,10.13,8.78,-11.51,101.35
2024-May,11.86,8.99,-13.16,101.51
2024-Jun,11.88,9.01,-12.67,102.73
2024-Jul,10.45,9.17,-10.86,104.03
2024-Aug,11.73,9.25,-12.56,103.07
2024-Sep,12.1,9.18,-13.06,102.34
2024-Oct,12.14,8.81,-12.75,103.77
2024-Nov,12.54,8.77,-12.29,103.79
2024-Dec,13.25,9.18,-12.45,105.68
2025-Jan,13.39,9.01,-11.57,104.28
2025-Feb,14.62,9.79,-13.85,104.87
2025-Mar,14.76,9.53,-15.8,107.31
2025-Apr,14.94,9.23,-16.3,106.86
2025-May,14.04,9.69,-15.97,106.51
2025-Jun,13.53,9.53,-14.85,107.49
2025-Jul,14.09,9.16,-14.93,108.0
2025-Aug,14.55,10.02,-16.9,108.65
2025-Sep,15.06,9.24,-16.78,108.26
2025-Oct,16.24,9.03,-17.77,107.33
2025-Nov,17.5,9.38,-18.08,110.28
2025-Dec,18.36,10.05,-17.83,111.63
2026-Jan,17.39,9.49,-15.93,108.76
2026-Feb,17.63,10.36,-18.12,110.67
2026-Mar,18.49,10.23,-21.01,110.74
2026-Apr,17.93,8.99,-19.69,110.93
2026-May,16.22,10.12,-19.12,110.27
2026-Jun,17.5,9.47,-19.4,110.03
2026-Jul,16.56,9.47,-18.01,110.82
2026-Aug,16.42,9.55,-18.22,111.26
2026-Sep,16.56,9.67,-18.73,111.69
2026-Oct,16.96,9.4,-18.92,112.22
2026-Nov,17.87,9.4,-19.38,112.93
2026-Dec,19.05,9.46,-19.72,113.89
2027-Jan,18.78,9.41,-18.11,114.15
2027-Feb,18.17,10.25,-19.47,113.02
2027-Mar,19.17,10.42,-21.54,114.91
2027-Apr,18.59,10.18,-21.28,115.17
2027-May,19.0,10.18,-21.9,115.54
2027-Jun,18.14,10.17,-20.7,115.96
2027-Jul,16.64,10.14,-18.73,116.37
2027-Aug,18.06,10.07,-20.36,116.61
2027-Sep,18.1,10.14,-20.73,116.87
2027-Oct,18.27,9.85,-20.66,117.32
2027-Nov,19.39,9.82,-21.31,117.88
2027-Dec,21.02,9.72,-21.94,118.5
