onset,MY,season,T12,T24,T12_exc,T24_exc,sur,d_sur,balance_pct,prod_yoy,cons_yoy,dist,cum_d_sur_3y,stocks_yoy,rank
1976-09,1975,1975/76,-11.8,10.5,-13.4,-6.0,22.5,0.7,1.52,1.78,3.21,0.8,-2.3,6.37,1
1991-06,1990,1990/91,0.0,-9.1,-1.4,-12.2,20.3,1.7,4.45,4.06,2.67,1.364,0.0,11.99,2
2023-06,2022,2022/23,-19.0,-34.0,-21.8,-38.2,25.7,-1.2,1.15,-1.02,1.12,1.378,-1.7,-3.35,3
1997-05,1996,1996/97,-32.9,-65.4,-13.7,-35.6,24.7,-1.4,3.09,0.47,2.79,1.706,5.6,-2.76,4
1994-10,1994,1994/95,-17.6,-25.6,-19.1,-21.1,22.2,3.1,2.35,6.32,1.85,1.848,0.7,18.34,5
2002-07,2001,2001/02,6.9,19.4,2.2,-0.9,27.2,-3.4,-0.11,2.78,3.52,1.9,-0.2,-8.05,6
2004-08,2003,2003/04,30.2,46.3,21.0,14.0,27.3,-1.9,2.32,-4.08,0.45,2.126,-3.3,-6.1,7
1972-06,1971,1971/72,56.0,152.2,-5.4,77.3,26.1,-3.8,1.7,1.3,3.66,2.209,-7.6,-9.59,8
2014-10,2014,2014/15,-11.8,22.3,8.3,34.6,28.5,2.1,5.72,1.04,1.12,2.392,7.0,9.44,9
2006-09,2005,2005/06,-16.7,0.0,-36.2,-10.8,20.8,-3.2,1.3,2.5,0.75,2.478,-8.4,-12.73,10
1986-09,1985,1985/86,22.3,65.1,3.6,31.2,23.8,-3.7,-1.4,-1.4,2.49,2.491,-7.2,-11.38,11
1968-10,1968,1968/69,33.6,58.8,24.0,48.6,33.7,1.4,8.0,1.57,2.24,2.818,2.8,6.63,12
1977-10,1977,1977/78,11.8,62.9,0.5,34.7,28.1,3.3,6.48,7.76,4.68,2.877,6.3,18.77,13
2019-10,2019,2019/20,10.2,42.9,-2.2,7.6,27.4,-2.8,-2.81,-7.02,-0.41,3.318,3.1,-9.64,14
2018-09,2017,2017/18,-3.5,3.4,-0.9,-4.4,29.3,5.0,11.89,12.85,2.59,3.78,0.8,23.24,15
1982-05,1981,1981/82,47.0,-22.3,37.7,-39.0,26.1,6.8,8.22,12.78,1.22,4.145,-1.4,36.71,16
1965-06,1964,1964/65,0.0,0.0,-7.7,-1.5,30.8,4.4,16.27,10.4,4.59,4.375,3.0,22.0,17
2009-07,2008,2008/09,-17.8,21.9,-29.1,-10.2,19.2,-9.3,-6.63,-11.89,2.04,5.684,-1.6,-31.19,18
