year,world_prod,world_cons,world_end,world_su_ratio,world_beg,world_export,world_feed,world_fsi,trade5_end,trade5_prod,trade5_cons,trade5_export,ru_end,ru_prod,ru_export,cn_end,cn_prod
2000,582813.0,583912.0,206122.0,35.3,209072.0,101195.0,109846.0,474066.0,57479.0,243674.0,177445.0,77869.0,1912.0,44652.0,774.0,91877.0,99636.0
2001,583791.0,586787.0,203577.0,34.69,206122.0,105783.0,111892.0,474895.0,55251.0,225333.0,174484.0,71879.0,10578.0,68331.0,9858.0,76588.0,93873.0
2002,570058.0,602181.0,169825.0,28.2,203577.0,105341.0,116141.0,486040.0,42029.0,206245.0,179862.0,59952.0,11588.0,71165.0,19190.0,60378.0,90290.0
2003,556088.0,581491.0,137010.0,23.56,169825.0,108519.0,101680.0,479811.0,39145.0,230255.0,171279.0,76643.0,5943.0,37669.0,3180.0,43292.0,86489.0
2004,627061.0,605692.0,157738.0,26.04,137010.0,111081.0,110715.0,494977.0,59281.0,258970.0,180123.0,73274.0,8702.0,62954.0,12354.0,38820.0,91952.0
2005,619105.0,616353.0,154668.0,25.09,157738.0,117394.0,117540.0,498813.0,60584.0,245893.0,184747.0,75791.0,8380.0,66314.0,17125.0,34497.0,97445.0
2006,596834.0,619099.0,134778.0,21.77,154668.0,111559.0,113084.0,506015.0,40073.0,213208.0,183806.0,66837.0,6007.0,58874.0,14156.0,38568.0,108466.0
2007,611710.0,614378.0,129216.0,21.03,134778.0,116390.0,105024.0,509354.0,30649.0,214138.0,169533.0,71124.0,6349.0,63306.0,13456.0,39274.0,109492.0
2008,684262.0,636775.0,170285.0,26.74,129216.0,144121.0,123963.0,512812.0,49606.0,276204.0,188231.0,87091.0,14045.0,89650.0,31430.0,46433.0,112901.0
2009,687531.0,650872.0,203785.0,31.31,170285.0,136764.0,122673.0,528199.0,59054.0,253647.0,179239.0,81255.0,17080.0,82636.0,27893.0,54231.0,115796.0
2010,650300.0,653373.0,199617.0,30.55,203785.0,133040.0,116626.0,536747.0,54358.0,252145.0,175385.0,95943.0,17077.0,58352.0,8285.0,58810.0,116093.0
2011,698743.0,690834.0,200121.0,28.97,199617.0,157644.0,149438.0,541396.0,50505.0,253419.0,186256.0,89383.0,16262.0,78564.0,27063.0,55835.0,118570.0
2012,660810.0,687339.0,180610.0,26.28,200121.0,136148.0,138829.0,548510.0,44066.0,249729.0,183267.0,89514.0,7512.0,53481.0,18498.0,54301.0,122475.0
2013,718132.0,691037.0,200723.0,29.05,180610.0,165935.0,126937.0,564100.0,47111.0,271110.0,178364.0,106010.0,8847.0,74369.0,28364.0,66324.0,123639.0
2014,732116.0,702416.0,225580.0,32.11,200723.0,164253.0,132965.0,569451.0,50076.0,271244.0,183023.0,101430.0,11965.0,83830.0,34069.0,77682.0,128235.0
2015,739036.0,713929.0,247821.0,34.71,225580.0,172972.0,141865.0,572064.0,56345.0,272059.0,188005.0,95197.0,8952.0,88318.0,42977.0,95484.0,132555.0
2016,757269.0,734193.0,267779.0,36.47,247821.0,186778.0,147763.0,586430.0,61256.0,264507.0,173887.0,100442.0,12596.0,99320.0,45922.0,113334.0,133188.0
2017,760308.0,739566.0,287297.0,38.85,267779.0,185449.0,147417.0,592149.0,61234.0,239643.0,172051.0,85632.0,13248.0,112148.0,59222.0,129508.0,134241.0
2018,729893.0,731054.0,284007.0,38.85,287297.0,176237.0,139117.0,591937.0,57766.0,229813.0,166488.0,84220.0,9333.0,96742.0,51882.0,138088.0,131441.0
2019,759933.0,739102.0,298622.0,40.4,284007.0,194592.0,139876.0,599226.0,51235.0,243685.0,167341.0,99861.0,8732.0,102781.0,55501.0,150015.0,133600.0
2020,772759.0,777058.0,285523.0,36.74,298622.0,203541.0,163626.0,613432.0,44521.0,249802.0,163860.0,107911.0,12885.0,110772.0,55951.0,139120.0,134250.0
2021,780860.0,788156.0,275108.0,34.91,285523.0,203728.0,159570.0,628586.0,40711.0,249621.0,168531.0,99302.0,18353.0,108165.0,52844.0,136759.0,136946.0
2022,790286.0,781910.0,274442.0,35.1,275108.0,221970.0,153242.0,628668.0,43637.0,265368.0,167479.0,115927.0,17314.0,113500.0,66122.0,138818.0,137723.0
2023,791593.0,797034.0,270124.0,33.89,274442.0,221437.0,159556.0,637478.0,44269.0,251941.0,169918.0,105303.0,13194.0,114500.0,74077.0,134523.0,136590.0
2024,799099.0,799454.0,260475.0,32.58,270124.0,210544.0,157174.0,642280.0,45885.0,252844.0,168670.0,105376.0,11314.0,105000.0,58751.0,127775.0,140099.0
2025,843352.0,817523.0,280219.0,34.28,260475.0,227402.0,168199.0,649324.0,58243.0,282929.0,176283.0,112146.0,13988.0,114400.0,62104.0,122204.0,140070.0
2026,819302.0,821841.0,273252.0,33.25,280219.0,212707.0,163827.0,658014.0,42943.0,244956.0,174459.0,104492.0,18388.0,113900.0,59500.0,120204.0,141000.0
